collection_id,collection_name,doi,pmid,pmcid,source,secondary_doi
2119,Peri-hand space representation in the absence of a hand – Evidence from congenital one-handers,10.1016/j.cortex.2017.08.016,28910669,5637313,neurovault,
3857,Functional MRI mapping of dynamic visual features during natural viewing in the macaque,10.1016/j.neuroimage.2015.01.012,25579448,4339453,neurovault,
2039,Not Just Social Sensitivity: Adolescent neural suppression of social feedback during risk taking,10.1016/j.dcn.2018.01.012,29518712,6014584,neurovault,
1238,Representing Representation: Integration between the Temporal Lobe and the Posterior Cingulate Influences the Content and Form of Spontaneous Thought,10.1371/journal.pone.0152272,27045292,4821638,neurovault,
1944,Higher Heart-Rate Variability Is Associated with Ventromedial Prefrontal Cortex Activity and Increased Resistance to Temptation in Dietary Self-Control Challenges,10.1523/JNEUROSCI.2815-16.2016,28077722,6596577,neurovault,
2450,Empathic Care and Distress: Predictive Brain Markers and Dissociable Brain Systems,10.1016/j.neuron.2017.05.014,28602689,5532453,neurovault,
6084,Brain imaging of chill reaFctions to pleasant and unpleasant sounds,10.1016/j.bbr.2019.112417,31812503,,neurovault,
4469,The neurofunctional basis of affective startle modulation in humans – evidence from combined facial electromyography and functional magnetic resonance imaging,10.1016/j.biopsych.2019.07.028,31547934,,neurovault,
1083,Neural correlates of the LSD experience revealed by multimodal neuroimaging,10.1073/pnas.1518377113,27071089,4855588,neurovault,
2411,Activation in Context: Differential Conclusions Drawn from Cross-Sectional and Longitudinal Analyses of Adolescents’ Cognitive Control-Related Neural Activity,10.3389/fnhum.2017.00141,28392763,5364459,neurovault,
754,Functional specialization of the male insula during taste perception,10.1016/j.neuroimage.2015.06.062,26142270,,neurovault,
33,The human voice areas: Spatial organization and inter-individual variability in temporal and extra-temporal cortices,10.1016/j.neuroimage.2015.06.050,26116964,4768083,neurovault,
1280,The hierarchical organization of the lateral prefrontal cortex,10.7554/eLife.12112,26999822,4811776,neurovault,
1846,The Neural Basis of Understanding the Expression of the Emotions in Man and Animals,10.1093/scan/nsw161,27803286,5390760,neurovault,
955,Intrinsic brain connectivity after partial sleep deprivation in young and older adults: results from the Stockholm Sleepy Brain study,10.1038/s41598-017-09744-7,28842597,5573389,neurovault,
4476,Neural correlates of prosocial peer influence on public goods game donations during adolescence,10.1093/scan/nsw013,26865424,4884312,neurovault,
4161,Neural evidences of hierarchical cognitive control during haptic processing: an fMRI study,10.1523/ENEURO.0295-18.2018,30627631,6325533,neurovault,
4471,Financial gain- and loss-related BOLD signals in the human VTA and SNc,10.1111/ejn.14288,30471149,6618000,neurovault,
1516,Mechanisms of hemispheric lateralization: A replication study,10.1016/j.cortex.2017.04.013,28511792,,neurovault,
474,"The integration of negative affect, pain and cognitive control in the cingulate cortex",10.1038/nrn2994,21331082,3044650,neurovault,
4176,Corticostriatal connectivity is associated with the reduction of intergroup bias and greater impartial giving in youth,10.1016/j.dcn.2019.100628,30981164,6582978,neurovault,
845,"Introspective Minds: Using ALE Meta-Analyses to Study Commonalities in the Neural Correlates of Emotional Processing, Social & Unconstrained Cognition",10.1371/journal.pone.0030920,22319593,3272038,neurovault,
540,Neural Correlates of Attentional Flexibility during Approach and Avoidance Motivation,10.1371/journal.pone.0127203,26000735,4441475,neurovault,
825,"Is There ""One"" DLPFC in Cognitive Action Control? Evidence for Heterogeneity From Co-Activation-Based Parcellation",10.1093/cercor/bhs256,22918987,3792742,neurovault,
418,Exploring the cortical and subcortical functional magnetic resonance imaging changes associated with freezing in Parkinson's disease,10.1093/brain/awt049,23485851,,neurovault,
1323,Reinforcement learning models and their neural correlates: An activation likelihood estimation meta-analysis,10.3758/s13415-015-0338-7,25665667,4437864,neurovault,
5943,The neural correlates of trauma‐related autobiographical memory in posttraumatic stress disorder: A meta‐analysis,10.1002/da.22977,31815346,,neurovault,
599,Causal evidence for frontal cortex organization for perceptual decision making,10.1073/pnas.1522551113,27162349,4889369,neurovault,
3699,Oxytocin reduces neural activation in response to infant faces in nulliparous young women,10.1093/scan/nsy080,30203082,6204485,neurovault,
1070,Adaptive Engagement of Cognitive Control in Context-Dependent Decision Making,10.1093/cercor/bhv333,26733531,,neurovault,
1649,Being asked to tell an unpleasant truth about another person activates anterior insula and medial prefrontal cortex,10.3389/fnhum.2015.00553,26539094,4611149,neurovault,
1408,Distinct Reward Properties are Encoded via Corticostriatal Interactions,10.1038/srep20093,26831208,4735713,neurovault,
2466,Insular atrophy at the prodromal stage of dementia with Lewy bodies: a VBM DARTEL study,10.1038/s41598-017-08667-7,28842567,5573371,neurovault,
3434,"Subspecialization within default mode nodes characterized in 10,000 UK Biobank participants",10.1073/pnas.1804876115,30420501,6275484,neurovault,
4257,Neural mechanisms for learning self and other ownership,10.1038/s41467-018-07231-9,30420714,6232114,neurovault,
2108,Varieties of semantic cognition revealed through simultaneous decomposition of intrinsic brain connectivity and behaviour,10.1016/j.neuroimage.2017.06.067,28655631,,neurovault,
4145,Volumetric and Surface Characteristics of Gray Matter in Adult Dyslexia and Dyscalculia,10.1016/j.neuropsychologia.2019.02.002,30738813,,neurovault,
3859,Distinguishing neural correlates of context-dependent advantageous- and disadvantageous-inequity aversion,10.1073/pnas.1802523115,30061413,6099874,neurovault,
1876,"Cultural differences and similarities in beliefs, practices, and neural mechanisms of emotion regulation.",10.1037/cdp0000112,28045309,,neurovault,
2953,Challenges in the reproducibility of clinical studies with resting state fMRI: An example in early Parkinson's disease,10.1016/j.neuroimage.2015.09.021,26386348,4655939,neurovault,
1526,Hypnotic analgesia reduces brain responses to pain seen in others,10.1038/s41598-017-10310-4,28852151,5575101,neurovault,
4172,How prior expectations shape multisensory perception,10.1016/j.neuroimage.2015.09.045,26419391,,neurovault,
2462,Computing the Social Brain Connectome Across Systems and States,10.1093/cercor/bhx121,28521007,,neurovault,
2245,Longitudinal changes in pubertal maturation and white matter microstructure,10.1016/j.psyneuen.2017.03.017,28419914,5612361,neurovault,
1380,Local striatal reward signals can be predicted from corticostriatal connectivity,10.1016/j.neuroimage.2017.07.042,28736307,5678290,neurovault,
2086,That’s me in the spotlight – Neural basis of individual differences in self-consciousness.,10.1093/scan/nsx076,28575483,5629813,neurovault,
3655,Corticostriatal Control of Goal-Directed Action Is Impaired in Schizophrenia,10.1016/j.biopsych.2014.06.005,25062683,,neurovault,
1546,Neural mechanisms of cue-approach training,10.1016/j.neuroimage.2016.09.059,27677231,5365383,neurovault,
3944,Disrupted amygdala-prefrontal connectivity during emotion regulation links stress-reactive rumination and adolescent depressive symptoms,10.1016/j.dcn.2017.09.002,28946039,5626656,neurovault,
3035,Evaluating methods of correcting for multiple comparisons implemented in SPM12 in social neuroscience fMRI studies: an example from moral psychology,10.1080/17470919.2017.1324521,28446105,,neurovault,
839,Sustaining attention to simple tasks: A meta-analytic review of the neural mechanisms of vigilant attention.,10.1037/a0030694,23163491,3627747,neurovault,
1924,Brain responses to biological motion predict treatment outcome in young adults with autism receiving Virtual Reality Social Cognition Training: Preliminary findings,10.1016/j.brat.2017.03.014,28384509,,neurovault,
1955,Reward Mechanisms in Obesity: New Insights and Future Directions,10.1016/j.neuron.2011.02.016,21338878,3057652,neurovault,
1065,"A studyforrest extension, simultaneous fMRI and eye gaze recordings during prolonged natural stimulation",10.1038/sdata.2016.92,27779621,5079121,neurovault,
1854,Individual variation in the propensity for prospective thought is associated with functional integration between visual and retrosplenial cortex,10.1016/j.cortex.2017.11.015,29287243,,neurovault,
1392,Simulating Longitudinal Brain MRIs with Known Volume Changes and Realistic Variations in Image Intensity,10.3389/fnins.2017.00132,28381986,5360759,neurovault,
4060,Odor-evoked category reactivation in human ventromedial prefrontal cortex during sleep promotes memory consolidation,10.7554/eLife.39681,30560782,6298770,neurovault,
3153,Posterior parietal cortex evaluates visuoproprioceptive congruence based on brief visual information,10.1038/s41598-017-16848-7,29192256,5709509,neurovault,
1848,In need of constraint: Understanding the role of the cingulate cortex in the impulsive mind,10.1016/j.neuroimage.2016.10.041,27989844,,neurovault,
2937,Topiramate modulates trigeminal pain processing in thalamo-cortical networks in humans after single dose administration,10.1371/journal.pone.0184406,28991914,5633146,neurovault,
2197,Knowing what from where: Hippocampal connectivity with temporoparietal cortex at rest is linked to individual differences in semantic and topographic memory,10.1016/j.neuroimage.2017.02.071,28246034,,neurovault,
